id,article_id,market,language,source_merchant,source_mode,title,product_url,candidate_url,category,price_text,currency,image_url,reason,topic_relevance,user_problem_fit,market_availability,comparison_value,evidence_availability,price_or_value_hint
,test-article-content-strategy-trend-keyword-trend-cluster-us-en-magnesium-sleep-magnesium-sleep,us,en,iHerb,manual_csv_now,Magnesium glycinate supplement sample,https://merchant.example.test/magnesium-glycinate,https://merchant.example.test/magnesium-glycinate,wellness,,USD,,Matches magnesium sleep topic but health claims need review,82,76,60,64,42,35
,test-article-content-strategy-trend-keyword-trend-cluster-es-es-usb-c-charger-usb-c-charger,es,es,Amazon,manual_csv_now,65W USB C GaN charger sample,https://merchant.example.test/es/usb-c-gan,https://merchant.example.test/es/usb-c-gan,consumer-tech,,EUR,,Matches Spain USB C charger article and needs safety verification,88,82,72,78,55,50
,test-article-content-strategy-trend-keyword-trend-cluster-br-pt-br-power-bank-real-capacity-power-bank-real-capacity,br,pt-br,AliExpress,manual_csv_now,Power bank 10000mAh sample,https://merchant.example.test/br/power-bank,https://merchant.example.test/br/power-bank,consumer-tech,,BRL,,Matches real capacity power bank article but needs capacity evidence,90,84,68,85,58,48
,test-article-content-strategy-trend-keyword-trend-cluster-jp-ja-compact-desk-gadget-compact-desk-gadget,jp,ja,Amazon,manual_csv_now,Compact desk organizer sample,https://merchant.example.test/jp/desk-organizer,https://merchant.example.test/jp/desk-organizer,desk-setup,,JPY,,Matches compact desk gadget article with low claim risk,76,72,65,70,50,42
,test-article-content-strategy-trend-keyword-trend-cluster-kr-ko-gut-health-gut-health,kr,ko,iHerb,manual_csv_now,Probiotic supplement sample,https://merchant.example.test/kr/probiotic,https://merchant.example.test/kr/probiotic,wellness,,KRW,,Matches gut health article but requires strict health claim guard,80,74,58,62,40,34
,,us,en,Amazon,manual_csv_now,Samsung S90F OLED TV sample,https://merchant.example.test/us/samsung-s90f-oled,https://merchant.example.test/us/samsung-s90f-oled,consumer-tech,,USD,,Matches Samsung S90F OLED deal article and needs price warranty and seller verification,90,86,72,84,60,55
,,br,pt-br,Amazon,manual_csv_now,iPhone 16 256GB Brasil sample,https://merchant.example.test/br/iphone-16-256gb,https://merchant.example.test/br/iphone-16-256gb,consumer-tech,,BRL,,Matches iPhone 16 promotion article and needs final cart price invoice and warranty verification,88,84,74,80,58,50
,,jp,ja,Runway,manual_csv_now,Runway Aleph 2 AI video editor sample,https://runwayml.com/product/aleph-2,https://runwayml.com/product/aleph-2,creative-ai,,JPY,/images/trend-articles/runway-aleph-ai-video-editor.png,Matches Runway Aleph 2 AI video editing article and needs pricing credit and commercial-use verification,90,86,74,88,68,42
,,jp,ja,Adobe,manual_csv_now,Adobe Premiere Pro AI video editing sample,https://www.adobe.com/products/premiere.html,https://www.adobe.com/products/premiere.html,creative-ai,,JPY,,Alternative for pro timeline editing and AI-assisted production comparison,78,76,70,82,65,35
,,jp,ja,CapCut,manual_csv_now,CapCut AI video editor sample,https://www.capcut.com/,https://www.capcut.com/,creative-ai,,JPY,,Alternative for short-form AI video editing and social content workflow comparison,76,80,72,78,58,40
,,kr,ko,NaverShopping,manual_csv_now,27형 QHD 180Hz 게이밍 모니터 후보,https://merchant.example.test/kr/qhd-180hz-gaming-monitor,https://merchant.example.test/kr/qhd-180hz-gaming-monitor,consumer-tech,,KRW,/images/trend-articles/gaming-monitor-korea-2026.png,게이밍 모니터 추천 글과 맞는 표준형 후보로 가격과 AS 확인 필요,90,86,78,88,62,52
,,kr,ko,Coupang,manual_csv_now,32형 4K 144Hz 게이밍 모니터 후보,https://merchant.example.test/kr/4k-144hz-gaming-monitor,https://merchant.example.test/kr/4k-144hz-gaming-monitor,consumer-tech,,KRW,/images/trend-articles/gaming-monitor-korea-2026.png,콘솔과 고사양 PC 사용자를 위한 상위 비교 후보로 HDMI 2.1 확인 필요,82,80,74,84,58,46
,,kr,ko,Amazon,manual_csv_now,27형 OLED 게이밍 모니터 후보,https://merchant.example.test/kr/oled-gaming-monitor,https://merchant.example.test/kr/oled-gaming-monitor,consumer-tech,,KRW,/images/trend-articles/gaming-monitor-korea-2026.png,OLED 선택지를 비교할 수 있으나 번인 보증과 가격 리스크 확인 필요,84,82,70,86,60,42
